Year,Rank,Title_CN,Title_JP,Info,Score,RatingCount
2015,Rank211,悠哉日常大王 Repeat,のんのんびより  りぴーと,12话 /  2015年7月6日 / 川面真也 / あっと（月刊コミックアライブ連載/KADOKAWA刊） / 大塚舞,8.0,7152人评分
2015,Rank275,机动战士高达 THE ORIGIN,機動戦士ガンダム THE ORIGIN,6话 /  2015年4月24日 / 今西隆志(1-3) / 矢立肇・富野由悠季；漫画原作：安彦良和 / 安彦良和、ことぶきつかさ,7.9,3133人评分
2016,Rank52,吹响吧！上低音号 第二季,響け！ユーフォニアム2,13话 /  2016年10月5日 / 石原立也 / 武田綾乃（宝島社文庫「響け！ユーフォニアム」シリーズ） / 池田晶子,8.5,16838人评分
2016,Rank59,排球少年 乌野高校 VS 白鸟泽学园高校,ハイキュー!! 烏野高校 VS 白鳥沢学園高校,10话 /  2016年10月7日 / 満仲勧 / 古舘春一（集英社「週刊少年ジャンプ」連載） / 岸田隆宏,8.4,6268人评分
2016,Rank87,3月的狮子,3月のライオン,22话 /  2016年10月8日 / 新房昭之 / 羽海野チカ（白泉社 ヤングアニマル連載） / 杉山延寛,8.3,10473人评分
2016,Rank170,昭和元禄落语心中,昭和元禄落語心中,13话 /  2016年1月8日 / 畠山守(小俣真一) / 雲田はるこ（講談社「ITAN」連載） / 細居美恵子,8.1,3577人评分
2016,Rank193,你的名字。,君の名は。,1话 /  2016年8月26日 / 新海誠 / 新海誠 / 田中将賀、安藤雅司,8.1,31898人评分
2016,Rank230,伤物语Ⅱ热血篇,傷物語Ⅱ熱血篇,1话 /  2016年8月19日 / 尾石達也 / 西尾維新「傷物語」（講談社BOX） / 渡辺明夫、守岡英行,8.0,8143人评分
2016,Rank274,伤物语Ⅰ铁血篇,傷物語Ⅰ鉄血篇,1话 /  2016年1月8日 / 尾石達也 / 西尾維新「傷物語」（講談社BOX） / 渡辺明夫、守岡英行,7.9,8708人评分
2016,Rank374,灵能百分百,モブサイコ100,12话 /  2016年7月11日 / 立川譲 / ONE（小学館「マンガワン」連載中） / 亀田祥倫,7.8,15881人评分
2016,Rank378,JOJO的奇妙冒险 不灭钻石,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,39话 /  2016年4月1日 / 津田尚克 / 荒木飛呂彦（集英社ジャンプ コミックス刊） / 西位輝実,7.8,14327人评分
2016,Rank505,齐木楠雄的灾难,斉木楠雄のΨ難,24话 /  2016年7月10日 / 桜井弘明 / 麻生周一（集英社「週刊少年ジャンプ」連載） / 音地正行,7.7,15011人评分
2017,Rank10,3月的狮子 第二季,3月のライオン 第2シリーズ,22话 /  2017年10月14日 / 新房昭之 / 羽海野チカ（白泉社 ヤングアニマル連載） / 杉山延寛,8.8,9924人评分
2017,Rank101,昭和元禄落语心中 -助六再临篇-,昭和元禄落語心中 -助六再び篇-,12话 /  2017年1月6日 / 畠山守(小俣真一) / 雲田はるこ（講談社「ITAN」連載） / 細居美恵子,8.3,2531人评分
2017,Rank112,来自深渊,メイドインアビス,13话 /  2017年7月7日 / 小島正幸 / つくしあきひと（竹書房「WEBコミックガンマ」） / 黄瀬和哉,8.2,17862人评分
2017,Rank118,伤物语Ⅲ冷血篇,傷物語Ⅲ冷血篇,1话 /  2017年1月6日 / 尾石達也 / 西尾維新「傷物語」（講談社BOX） / 渡辺明夫、守岡英行,8.2,8638人评分
2017,Rank159,游戏人生 零,ノーゲーム・ノーライフ ゼロ,1话 /  2017年7月15日 / いしづかあつこ / 榎宮祐（MF文庫J『ノーゲーム･ノーライフ』／KADOKAWA刊） / 田﨑聡,8.1,17895人评分
2017,Rank162,春宵苦短，少女前进吧！,夜は短し歩けよ乙女,1话 /  2017年4月7日 / 湯浅政明 / 森見登美彦『夜は短し歩けよ乙女』（角川文庫刊） / 伊東伸高,8.1,9238人评分
2017,Rank164,少女终末旅行,少女終末旅行,12话 /  2017年10月6日 / 尾崎隆晴 / つくみず（新潮社「くらげバンチ」連載） / 戸田麻衣,8.1,15765人评分
2017,Rank169,终物语（下）,終物語(下),7话 /  2017年8月12日 / 板村智幸 / 西尾維新「終物語 下」（講談社BOX） / 渡辺明夫,8.1,7447人评分
2017,Rank175,进击的巨人 第二季,進撃の巨人 Season 2,12话 /  2017年4月1日 / 肥塚正史 / 諫山創（別冊少年マガジン連載／講談社） / 浅野恭司,8.1,20134人评分
2017,Rank201,剧场版 吹响吧！上低音号～想要传达的旋律～,劇場版 響け！ユーフォニアム～届けたいメロディ～,1话 /  2017年9月30日 / 小川太一 / 武田綾乃（宝島社文庫「響け！ユーフォニアム」シリーズ） / 池田晶子,8.1,5198人评分
2018,Rank27,莉兹与青鸟,リズと青い鳥,1话 /  2018年4月21日 / 山田尚子 / 武田綾乃（宝島社文庫「響け！ユーフォニアム 北宇治高校吹奏楽部、波乱の第二楽章」） / 西屋太志,8.6,18713人评分
2018,Rank77,强风吹拂,風が強く吹いている,23话 /  2018年10月2日 / 野村和也 / 三浦しをん『風が強く吹いている』（新潮文庫刊） / 千葉崇洋,8.4,9791人评分
2018,Rank99,进击的巨人 第三季,進撃の巨人 Season 3,12话 /  2018年7月22日 / 肥塚正史 / 諫山創（別冊少年マガジン連載／講談社） / 浅野恭司,8.3,19087人评分
2018,Rank117,摇曳露营△,ゆるキャン△,12话 /  2018年1月4日 / 京極義昭 / あfろ（芳文社「まんがタイムきららフォワード」連載） / 佐々木睦美,8.2,16336人评分
2018,Rank129,命运石之门 0,シュタインズ・ゲート ゼロ,24话 /  2018年4月11日 / 川村賢一 / 志倉千代丸/MAGES. / 稲吉智重,8.2,14723人评分
2018,Rank148,比宇宙更远的地方,宇宙よりも遠い場所,13话 /  2018年1月2日 / いしづかあつこ / よりもい / 吉松孝博,8.2,14889人评分
2018,Rank233,剧场版 悠哉日常大王 Vacation,劇場版 のんのんびより ばけーしょん,1话 /  2018年8月25日 / 川面真也 / あっと（月刊コミックアライブ連載/KADOKAWA刊） / 大塚舞,8.0,4089人评分
2018,Rank244,JOJO的奇妙冒险 黄金之风,ジョジョの奇妙な冒険 黄金の風,39话 /  2018年10月5日 / 木村泰大・髙橋秀弥 / 荒木飛呂彦（集英社ジャンプ コミックス刊） / 岸田隆宏,8.0,14508人评分
2018,Rank293,少女☆歌剧 Revue Starlight,少女☆歌劇 レヴュースタァライト,12话 /  2018年7月12日 / 古川知宏 / ブシロード／ネルケプランニング／KINEMA CITRUS / 齊田博之,7.9,15417人评分
2018,Rank297,续·终物语,続・終物語,6话 /  2018年11月10日 / 新房昭之 / 西尾維新「続・終物語」（講談社BOX） / 渡辺明夫,7.9,5757人评分
2019,Rank18,进击的巨人 第三季 Part.2,進撃の巨人 Season 3 Part.2,10话 /  2019年4月28日 / 肥塚正史 / 諫山創（別冊少年マガジン連載／講談社） / 浅野恭司,8.7,21510人评分
2019,Rank81,冰海战记,ヴィンランド・サガ,24话 /  2019年7月7日 / 籔田修平 / 幸村誠「ヴィンランド・サガ」（講談社『アフタヌーン』連載） / 阿比留隆彦,8.3,12258人评分
2019,Rank161,高分少女 第二季,ハイスコアガールⅡ,9话 /  2019年10月25日 / 山川吉樹 / 押切蓮介（掲載 月刊「ビッグガンガン」スクウェア・エニックス刊） / 桑波田満（SMDE）,8.1,4925人评分
2019,Rank167,灵能百分百 第二季,モブサイコ100 Ⅱ,13话 /  2019年1月7日 / 立川譲 / ONE（小学館「マンガワン」連載） / 亀田祥倫,8.1,14209人评分
2019,Rank198,剧场版 吹响吧！上低音号～誓言的终章～,劇場版 響け！ユーフォニアム～誓いのフィナーレ～,1话 /  2019年4月19日 / 石原立也 / 武田綾乃（宝島社文庫『響け! ユーフォニアム 北宇治高校吹奏楽部､波乱の第二楽章』） / 池田晶子,8.1,10329人评分
2019,Rank308,来自深渊 漂泊之黄昏,劇場版総集編 メイドインアビス【後編】 放浪する黄昏,1话 /  2019年1月18日 / 小島正幸 / つくしあきひと / 黄瀬和哉,7.9,2816人评分
2019,Rank364,辉夜大小姐想让我告白～天才们的恋爱头脑战～,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,12话 /  2019年1月12日 / 畠山守(小俣真一) / 赤坂アカ（集英社「週刊ヤングジャンプ」連載） / 八尋裕子,7.8,25511人评分
2019,Rank435,电影 Star☆Twinkle 光之美少女 满怀思念的星之歌,映画 スター☆トゥインクルプリキュア 星のうたに想いをこめて,1话 /  2019年10月19日 / 田中裕太 / 東堂いづみ / 高橋晃・小松こずえ,7.9,317人评分
2019,Rank437,剧场版 Fate/stay night [Heaven's Feel] II.lost butterfly,劇場版 Fate/stay night [Heaven's Feel] II.lost butterfly,1话 /  2019年1月12日 / 須藤友徳 / 奈須きのこ／TYPE-MOON / 須藤友徳、碇谷敦、田畑壽之,7.8,11580人评分
